source,model,period,n_test,RMSE,MAE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_ref
Deep_all,M3_Deep_gated,late(>=2023-01-01),155,3.2914666103808106,2.5168318968434065,0.0013824848369835552,0.5483870967741935,0.20048709694827005,0.14224248048358043
Deep_all,M2_Deep_gated,full,257,4.252854074526352,3.106046131444684,-0.024343604416916298,0.47470817120622566,0.7689634672231235,0.48511519158999256
Deep_all,M2_Deep_gated,early(<2023-01-01),102,5.347255584501987,3.916876473225898,-0.030557878978345387,0.43137254901960786,0.7938533557906589,0.5243565822006977
Deep_all,M2_Deep_gated,late(>=2023-01-01),155,3.3425881474010377,2.572467454917692,-0.014127580527023564,0.5032258064516129,0.42533349123117425,0.38815039942585766
Deep_all,M4_Deep_gated,full,257,4.204943374355334,3.0570236712666747,-0.01280381997021296,0.5019455252918288,0.8944291166651883,0.23899035627913662
Deep_all,M4_Deep_gated,early(<2023-01-01),102,5.310633372320021,3.891074217640759,-0.023499808027121816,0.47058823529411764,0.988433590615221,0.42316878954763054
Deep_all,M4_Deep_gated,late(>=2023-01-01),155,3.2799190604727606,2.508164602039857,0.0048859642765223255,0.5225806451612903,0.06167531020668149,0.09771139095424275
Deep_all,M4_Deep_Concat,full,257,4.320439963692605,3.082789113468392,-0.04062236030721622,0.49416342412451364,0.6374368985471914,0.6497723845310714
Deep_all,M4_Deep_Concat,early(<2023-01-01),102,5.504063023317588,3.9109723203679403,-0.06077882858513006,0.46078431372549017,0.6316396125875394,0.6951665411828691
Deep_all,M4_Deep_Concat,late(>=2023-01-01),155,3.318718548196894,2.5377911321538504,-0.0068856416995106695,0.5161290322580645,0.5739338062984323,0.24343226225612624
