date,P_t,P_next_actual,P_hat_M0,r_hat_intact,P_hat_intact,r_hat_gfw,P_hat_gfw,r_hat_portwatch,P_hat_portwatch,r_hat_shipping,P_hat_shipping
2022-11-11,96.37,88.93,96.37,-0.008029247675454876,95.5993195340866,-0.008073236844681753,95.59511429193488,-0.00815986761631915,95.58683317212407,-0.008258343334926699,95.57742065349791
2022-11-18,88.93,83.4,88.93,-0.007526304530604544,88.2631981625325,-0.0075710460224098775,88.25924922371657,-0.007785824817868048,88.24029504403106,-0.007887969142455709,88.23128225900263
2022-11-25,83.4,86.54,83.4,-0.00837123822515129,82.70475283195827,-0.008406065180119104,82.70187252741218,-0.008584262290199818,82.68713660571787,-0.008717184668845412,82.67614636527748
2022-12-02,86.54,76.37,86.54,-0.006326214641238392,85.99425744730614,-0.00634176643036366,85.99292009314748,-0.0065823639446407345,85.97223289907117,-0.006656218666776126,85.96588367816192
2022-12-09,76.37,80.2,76.37,-0.007761829034527712,75.77952366928007,-0.007789735241819806,75.77740897969068,-0.007920871887751701,75.76747243597642,-0.008025141936987557,75.75957256976191
2022-12-16,80.2,82.45,80.2,-0.007478422505398208,79.60246759977898,-0.007437915928327099,79.60569208857392,-0.007747549373278928,79.58104731951403,-0.007811049325859187,79.57599408722466
2022-12-23,82.45,82.82,82.45,-0.002214805335801928,82.26759137442677,-0.0022486955044821455,82.2648033591216,-0.0023362801136743716,82.25759854398918,-0.0024437299658963685,82.24876045201583
2022-12-30,82.82,76.41,82.82,-0.006253919334997082,82.30366663715637,-0.006250823754936963,82.30392141514002,-0.006447761241115235,82.28771428370216,-0.006550004773075879,82.27930132724934
2023-01-06,76.41,83.43,76.41,-0.007554755345037911,75.83491618804435,-0.007593453454372345,75.83198157694865,-0.007683769366552018,75.8251330516302,-0.0077473385576113385,75.82031306246317
2023-01-13,83.43,86.96,83.43,-0.004966328542659659,83.01668638479937,-0.004918539524365495,83.0206537655416,-0.0051843212436384345,82.99859132547513,-0.005245611765349545,82.99350445440159
2023-01-20,86.96,85.36,86.96,-0.005437377482898853,86.48844881676655,-0.005506429142837277,86.48247685199966,-0.005507461942656278,86.48238753295935,-0.005664045699493414,86.46884685597189
2023-01-27,85.36,78.85,85.36,-0.010195025856678086,84.49417365325196,-0.010275441397610052,84.48737928176222,-0.010274808358119003,84.48743276562674,-0.01043157812168971,84.47418872892673
2023-02-03,78.85,85.46,78.85,-0.006549659726179158,78.33524689957322,-0.006660910250761987,78.32653254700945,-0.006541002705606758,78.33592505235255,-0.006698158869905768,78.32361504616652
2023-02-10,85.46,81.97,85.46,-0.005108952278764178,85.02450235386016,-0.005228937926194277,85.01430124590333,-0.005133600740116151,85.02240665652789,-0.00531451232791369,85.00702650920667
2023-02-17,81.97,82.31,81.97,-0.009177202148883623,81.2211860040461,-0.009247630875247381,81.21546590079424,-0.009154913198361925,81.22299635921765,-0.0092125465112467,81.21831534374755
2023-02-24,82.31,85.74,82.31,-0.011241727880605623,81.38987496592914,-0.01129959755563803,81.38516509659456,-0.011234861046386158,81.39043385862658,-0.011373984834143869,81.37911130081775
2023-03-03,85.74,82.3,85.74,-0.009004107982203635,84.97145301405327,-0.009073419640504454,84.96556370583785,-0.00896623043421485,84.9746715852979,-0.00916685565278641,84.95762523325928
2023-03-10,82.3,71.03,82.3,-0.009202343887761089,81.54612114433812,-0.009276933615584682,81.54003886819737,-0.00919435690249415,81.54677245460728,-0.009383796025513647,81.53132576869791
2023-03-17,71.03,73.63,71.03,-0.010041106826140123,70.32034898543009,-0.010133189408211507,70.31387400424441,-0.010033324345513961,70.32089625431325,-0.010116450857513115,70.31505096643953
2023-03-24,73.63,79.19,73.63,-0.008090790256492397,73.03667856964702,-0.008174102775225123,73.03059395346138,-0.008133429987925211,73.03356437168281,-0.008317988746426863,73.02008663146918
2023-03-31,79.19,86.56,79.19,-0.009070223613203865,78.4749766051228,-0.0091991478604605,78.46485992999189,-0.009016276522160638,78.47921021602481,-0.009208448197139063,78.46413018377055
2023-04-07,86.56,87.31,86.56,-0.008274044912536027,85.84675345838653,-0.008450955814069516,85.83156757515223,-0.008349960323709382,85.84023661416742,-0.008553316038916847,85.82278228623599
2023-04-14,87.31,83.36,87.31,-0.006709004809497543,86.72619734726635,-0.006817852661466617,86.7167579007167,-0.006685870093551927,86.72820375641578,-0.006834426786323178,86.71532065825465
2023-04-21,83.36,81.32,83.36,-0.00914760793311109,82.60093252168195,-0.009020900879041616,82.61139930559885,-0.009187964775193125,82.59759907615648,-0.00943466692486361,82.57722458422559
2023-04-28,81.32,75.85,81.32,-0.008509543346662651,80.63093988653361,-0.008336896232881807,80.64486178733988,-0.008596144731679689,80.62395743781344,-0.008704208595776808,80.61524537217213
