date,f_x,e_f_bg,sum_phi,residual,abs_residual,rel_residual,checkpoint_week
2022-10-14,-0.0027089761570096016,0.0016097798943519592,-0.0043587819673120975,4.002591595053673e-05,4.002591595053673e-05,0.009267905571758838,2022-07-22
2022-10-21,-0.005340291187167168,0.0007606029976159334,-0.006133687682449818,3.2793497666716576e-05,3.2793497666716576e-05,0.005375186476212861,2022-10-21
2022-10-28,-0.007676014676690102,0.0008046678849495947,-0.008448423817753792,-3.225874388590455e-05,3.225874388590455e-05,0.003803786501095318,2022-10-21
2022-11-04,-0.0037093113642185926,0.0007792535470798612,-0.004486029502004385,-2.5354092940688133e-06,2.5354092940688133e-06,0.0005648584114496533,2022-10-21
2022-11-11,-0.008029247634112835,0.0007814892451278865,-0.008801640011370182,-9.096867870539427e-06,9.096867870539427e-06,0.0010324740904738556,2022-10-21
2022-11-18,-0.0075263045728206635,0.0008420583908446133,-0.008365708403289318,-2.654560375958681e-06,2.654560375958681e-06,0.0003172134401136928,2022-10-21
2022-11-25,-0.00837123766541481,0.0008346627000719309,-0.00920848734676838,2.5869812816381454e-06,2.5869812816381454e-06,0.00028101308604272567,2022-10-21
2022-12-02,-0.006326214410364628,0.0007708497578278184,-0.007104218006134033,7.153837941586971e-06,7.153837941586971e-06,0.001007998193628711,2022-10-21
2022-12-09,-0.007761828601360321,0.0008309450349770486,-0.008564792573451996,-2.798106288537383e-05,2.798106288537383e-05,0.0032563444012539593,2022-10-21
2022-12-16,-0.007478422485291958,0.0007690852507948875,-0.008265674114227295,1.8166378140449524e-05,1.8166378140449524e-05,0.002202647962909241,2022-10-21
2022-12-23,-0.002214805455878377,0.0007320038275793195,-0.0029650619253516197,1.8252641893923283e-05,1.8252641893923283e-05,0.006194014677583575,2022-10-21
2022-12-30,-0.006253919564187527,0.0008112381910905242,-0.007060864008963108,-4.293746314942837e-06,4.293746314942837e-06,0.000607734517235657,2022-10-21
2023-01-06,-0.007554755546152592,0.0007524822722189128,-0.008289607241749763,-1.7630576621741056e-05,1.7630576621741056e-05,0.0021223125886230313,2022-10-21
2023-01-13,-0.004966328851878643,0.000786053016781807,-0.005753449164330959,1.0672956705093384e-06,1.0672956705093384e-06,0.00018553945817287963,2022-10-21
2023-01-20,-0.005437377840280533,-0.0011718105524778366,-0.004258448723703623,-7.11856409907341e-06,7.11856409907341e-06,0.0016688395541275861,2023-01-20
2023-01-27,-0.010195025242865086,-0.0011710147373378277,-0.008999844081699848,-2.4166423827409744e-05,2.4166423827409744e-05,0.002678010739515462,2023-01-20
2023-02-03,-0.006549659185111523,-0.0012225471436977386,-0.005315158516168594,-1.1953525245189667e-05,1.1953525245189667e-05,0.0022438992672330965,2023-01-20
2023-02-10,-0.005108952522277832,-0.0012259262148290873,-0.0038874319288879633,4.405621439218521e-06,4.405621439218521e-06,0.0011345815723554562,2023-01-20
2023-02-17,-0.009177202358841896,-0.0011415835469961166,-0.008036606945097446,9.881332516670227e-07,9.881332516670227e-07,0.00012296900153107608,2023-01-20
2023-02-24,-0.011241727508604527,-0.0011800455395132303,-0.01007220521569252,1.0523246601223946e-05,1.0523246601223946e-05,0.0010458724669320536,2023-01-20
2023-03-03,-0.009004107676446438,-0.0012029807548969984,-0.007811833638697863,1.0706717148423195e-05,1.0706717148423195e-05,0.0013724559966185874,2023-01-20
2023-03-10,-0.009202343411743641,-0.0011549772461876273,-0.008055836893618107,8.470728062093258e-06,8.470728062093258e-06,0.0010526074446910105,2023-01-20
2023-03-17,-0.01004110649228096,-0.0011520935222506523,-0.008846166543662548,-4.2846426367759705e-05,4.2846426367759705e-05,0.004820150258607513,2023-01-20
2023-03-24,-0.008090790361166,-0.0011812595184892416,-0.006898652762174606,-1.0878080502152443e-05,1.0878080502152443e-05,0.0015743564948576627,2023-01-20
2023-03-31,-0.009070223197340965,-0.0011170809157192707,-0.007950474508106709,-2.667773514986038e-06,2.667773514986038e-06,0.0003354359907266938,2023-01-20
2023-04-07,-0.008274044841527939,-0.0011663235491141677,-0.007080305367708206,-2.7415924705564976e-05,2.7415924705564976e-05,0.0038571976876540844,2023-01-20
2023-04-14,-0.006709004752337933,-0.0012022857554256916,-0.0055193412117660046,1.262221485376358e-05,1.262221485376358e-05,0.002292143822737812,2023-01-20
2023-04-21,-0.009147608652710915,-0.0006815188680775464,-0.008439147844910622,-2.694193972274661e-05,2.694193972274661e-05,0.003182331936560485,2023-04-21
2023-04-28,-0.008509542793035507,-0.000613165320828557,-0.007880350574851036,-1.6026897355914116e-05,1.6026897355914116e-05,0.0020296493063852628,2023-04-21
2023-05-05,-0.0071240016259253025,-0.0006460090517066419,-0.006491728127002716,1.3735552784055471e-05,1.3735552784055471e-05,0.002120337654498721,2023-04-21
2023-05-12,-0.007311622146517038,-0.000594446319155395,-0.006714892573654652,-2.2832537069916725e-06,2.2832537069916725e-06,0.00033991224385830073,2023-04-21
2023-05-19,-0.006303525995463133,-0.0006014581304043531,-0.005720003508031368,1.793564297258854e-05,1.793564297258854e-05,0.0031454573923822855,2023-04-21
2023-05-26,-0.006930123548954725,-0.0006308776792138815,-0.006323191337287426,2.3945467546582222e-05,2.3945467546582222e-05,0.0038013168605528255,2023-04-21
2023-06-02,-0.0068600294180214405,-0.0006422495935112238,-0.006211318541318178,-6.461283192038536e-06,6.461283192038536e-06,0.0010391607587906045,2023-04-21
2023-06-09,-0.006333632860332727,-0.0006577111780643463,-0.005663728341460228,-1.2193340808153152e-05,1.2193340808153152e-05,0.00214825362437768,2023-04-21
2023-06-16,-0.010087978094816208,-0.0006158975884318352,-0.00945962592959404,-1.2454576790332794e-05,1.2454576790332794e-05,0.0013148709655949938,2023-04-21
2023-06-23,-0.008221384137868881,-0.0006379340775310993,-0.0075952159240841866,1.1765863746404648e-05,1.1765863746404648e-05,0.001551516544267337,2023-04-21
2023-06-30,-0.007951389998197556,-0.0006115229334682226,-0.007341899909079075,2.0328443497419357e-06,2.0328443497419357e-06,0.00027695890977663115,2023-04-21
2023-07-07,-0.006274229846894741,-0.0006219475180841982,-0.005649287719279528,-2.9946095310151577e-06,2.9946095310151577e-06,0.0005298044327522136,2023-04-21
2023-07-14,-0.009193055331707,-0.0006487295031547546,-0.008544900454580784,5.746260285377502e-07,5.746260285377502e-07,6.725227566753014e-05,2023-04-21
2023-07-21,-0.002532648853957653,0.0016071805730462074,-0.004162115510553122,2.2286083549261093e-05,2.2286083549261093e-05,0.005383320764542376,2023-07-21
2023-07-28,-0.0023508062586188316,0.0016339588910341263,-0.003984627779573202,-1.3737007975578308e-07,1.3737007975578308e-07,3.447373430035241e-05,2023-07-21
2023-08-04,0.0016676499508321285,0.0016515179304406047,4.129952867515385e-05,-2.5167508283630013e-05,2.5167508283630013e-05,1.5591300018952676,2023-07-21
2023-08-11,-0.005256909877061844,0.0016261064447462559,-0.006886158138513565,3.1418167054653168e-06,3.1418167054653168e-06,0.00045645862133504003,2023-07-21
2023-08-18,-0.00292696594260633,0.001677666325122118,-0.004588778596371412,-1.5853671357035637e-05,1.5853671357035637e-05,0.0034429756830722347,2023-07-21
2023-08-25,-0.004140772856771946,0.0016164806438609958,-0.005765979178249836,8.725677616894245e-06,8.725677616894245e-06,0.00151559462510878,2023-07-21
2023-09-01,-0.0020573653746396303,0.0015763506526127458,-0.0036242688074707985,-9.447219781577587e-06,9.447219781577587e-06,0.0025998712370511475,2023-07-21
2023-09-08,-0.0022743758745491505,0.0016143317334353924,-0.003902288619428873,1.3581011444330215e-05,1.3581011444330215e-05,0.0034924139043793993,2023-07-21
2023-09-15,-0.003829121356830001,0.0016759783029556274,-0.005516241770237684,1.1142110452055931e-05,1.1142110452055931e-05,0.002023957948276331,2023-07-21
2023-09-22,-0.0028584760148078203,0.0016959849745035172,-0.0045496816746890545,-4.779314622282982e-06,4.779314622282982e-06,0.0010493676726669944,2023-07-21
2023-09-29,-0.0017504028510302305,0.001628573052585125,-0.003388600191101432,9.624287486076355e-06,9.624287486076355e-06,0.0028482768974498595,2023-07-21
2023-10-06,-0.0019133694004267454,0.0016409452073276043,-0.0035717482678592205,1.7433660104870796e-05,1.7433660104870796e-05,0.004904915006028535,2023-07-21
2023-10-13,-0.006905067712068558,0.0016311160288751125,-0.008538957685232162,2.7739442884922028e-06,2.7739442884922028e-06,0.00032496266751620673,2023-07-21
2023-10-20,-0.0007439609616994858,0.00145715253893286,-0.0022067197132855654,5.6062126532197e-06,5.6062126532197e-06,0.002546977782759182,2023-10-20
2023-10-27,-0.0029186264146119356,0.0013991531450301409,-0.004317902494221926,1.2293457984924316e-07,1.2293457984924316e-07,2.847164692746949e-05,2023-10-20
2023-11-03,-0.004039310850203037,0.0014648386277258396,-0.0055039129219949245,-2.3655593395233154e-07,2.3655593395233154e-07,4.2977667144438115e-05,2023-10-20
2023-11-10,-0.0032467518467456102,0.0014509197790175676,-0.0046806721948087215,-1.699943095445633e-05,1.699943095445633e-05,0.0036186851959544254,2023-10-20
2023-11-17,-0.005049834027886391,0.0014202985912561417,-0.006466254126280546,-3.87849286198616e-06,3.87849286198616e-06,0.0005994447248367092,2023-10-20
2023-11-24,-0.005975885316729546,0.001430176431313157,-0.007383447606116533,-2.2614141926169395e-05,2.2614141926169395e-05,0.003053459741616185,2023-10-20
2023-12-01,-0.006046393886208534,0.001410553464666009,-0.007457849103957415,9.017530828714371e-07,9.017530828714371e-07,0.00012092775115116899,2023-10-20
