feature_index,channel,slot,lag,node_id,node_type,feature,group
367,aoi,2,2,P001,aoi,pw_portcalls_cargo,PortWatch_directional
368,aoi,2,2,P001,aoi,pw_import_tanker,PortWatch_directional
369,aoi,2,2,P001,aoi,pw_export_tanker,PortWatch_directional
370,aoi,2,2,P001,aoi,gfw_n_visits,GFW
371,aoi,2,2,P001,aoi,gfw_dwell_hrs_mean,GFW
372,aoi,2,2,P001,aoi,gfw_dwell_hrs_median,GFW
373,aoi,2,2,P001,aoi,gfw_self_loops,GFW
374,aoi,2,2,P001,aoi,sar_detections_total,SAR
375,aoi,2,2,P001,aoi,sar_detections_dark,SAR
376,aoi,2,2,P001,aoi,sar_dark_share,SAR
377,aoi,2,2,P002,aoi,pw_portcalls_tanker,PortWatch_directional
378,aoi,2,2,P002,aoi,pw_portcalls_cargo,PortWatch_directional
379,aoi,2,2,P002,aoi,pw_import_tanker,PortWatch_directional
380,aoi,2,2,P002,aoi,pw_export_tanker,PortWatch_directional
381,aoi,2,2,P002,aoi,gfw_n_visits,GFW
382,aoi,2,2,P002,aoi,gfw_dwell_hrs_mean,GFW
383,aoi,2,2,P002,aoi,gfw_dwell_hrs_median,GFW
384,aoi,2,2,P002,aoi,gfw_self_loops,GFW
385,aoi,2,2,P002,aoi,sar_detections_total,SAR
386,aoi,2,2,P002,aoi,sar_detections_dark,SAR
387,aoi,2,2,P002,aoi,sar_dark_share,SAR
388,aoi,2,2,P003,aoi,pw_portcalls_tanker,PortWatch_directional
389,aoi,2,2,P003,aoi,pw_portcalls_cargo,PortWatch_directional
390,aoi,2,2,P003,aoi,pw_import_tanker,PortWatch_directional
391,aoi,2,2,P003,aoi,pw_export_tanker,PortWatch_directional
392,aoi,2,2,P003,aoi,gfw_n_visits,GFW
393,aoi,2,2,P003,aoi,gfw_dwell_hrs_mean,GFW
394,aoi,2,2,P003,aoi,gfw_dwell_hrs_median,GFW
395,aoi,2,2,P003,aoi,gfw_self_loops,GFW
396,aoi,2,2,P003,aoi,sar_detections_total,SAR
397,aoi,2,2,P003,aoi,sar_detections_dark,SAR
398,aoi,2,2,P003,aoi,sar_dark_share,SAR
399,aoi,2,2,P004,aoi,pw_portcalls_tanker,PortWatch_directional
400,aoi,2,2,P004,aoi,pw_portcalls_cargo,PortWatch_directional
401,aoi,2,2,P004,aoi,pw_import_tanker,PortWatch_directional
402,aoi,2,2,P004,aoi,pw_export_tanker,PortWatch_directional
403,aoi,2,2,P004,aoi,gfw_n_visits,GFW
404,aoi,2,2,P004,aoi,gfw_dwell_hrs_mean,GFW
405,aoi,2,2,P004,aoi,gfw_dwell_hrs_median,GFW
406,aoi,2,2,P004,aoi,gfw_self_loops,GFW
407,aoi,2,2,P004,aoi,sar_detections_total,SAR
408,aoi,2,2,P004,aoi,sar_detections_dark,SAR
409,aoi,2,2,P004,aoi,sar_dark_share,SAR
410,aoi,2,2,P005,aoi,pw_portcalls_tanker,PortWatch_directional
411,aoi,2,2,P005,aoi,pw_portcalls_cargo,PortWatch_directional
412,aoi,2,2,P005,aoi,pw_import_tanker,PortWatch_directional
413,aoi,2,2,P005,aoi,pw_export_tanker,PortWatch_directional
414,aoi,2,2,P005,aoi,gfw_n_visits,GFW
415,aoi,2,2,P005,aoi,gfw_dwell_hrs_mean,GFW
416,aoi,2,2,P005,aoi,gfw_dwell_hrs_median,GFW
417,aoi,2,2,P005,aoi,gfw_self_loops,GFW
418,aoi,2,2,P005,aoi,sar_detections_total,SAR
419,aoi,2,2,P005,aoi,sar_detections_dark,SAR
420,aoi,2,2,P005,aoi,sar_dark_share,SAR
421,aoi,2,2,P006,aoi,pw_portcalls_tanker,PortWatch_directional
422,aoi,2,2,P006,aoi,pw_portcalls_cargo,PortWatch_directional
423,aoi,2,2,P006,aoi,pw_import_tanker,PortWatch_directional
424,aoi,2,2,P006,aoi,pw_export_tanker,PortWatch_directional
425,aoi,2,2,P006,aoi,gfw_n_visits,GFW
426,aoi,2,2,P006,aoi,gfw_dwell_hrs_mean,GFW
427,aoi,2,2,P006,aoi,gfw_dwell_hrs_median,GFW
428,aoi,2,2,P006,aoi,gfw_self_loops,GFW
429,aoi,2,2,P006,aoi,sar_detections_total,SAR
430,aoi,2,2,P006,aoi,sar_detections_dark,SAR
431,aoi,2,2,P006,aoi,sar_dark_share,SAR
432,aoi,2,2,P007,aoi,pw_portcalls_tanker,PortWatch_directional
433,aoi,2,2,P007,aoi,pw_portcalls_cargo,PortWatch_directional
434,aoi,2,2,P007,aoi,pw_import_tanker,PortWatch_directional
435,aoi,2,2,P007,aoi,pw_export_tanker,PortWatch_directional
436,aoi,2,2,P007,aoi,gfw_n_visits,GFW
437,aoi,2,2,P007,aoi,gfw_dwell_hrs_mean,GFW
438,aoi,2,2,P007,aoi,gfw_dwell_hrs_median,GFW
439,aoi,2,2,P007,aoi,gfw_self_loops,GFW
440,aoi,2,2,P007,aoi,sar_detections_total,SAR
441,aoi,2,2,P007,aoi,sar_detections_dark,SAR
442,aoi,2,2,P007,aoi,sar_dark_share,SAR
