week_ending_friday,site_id,pw_portcalls_tanker,pw_portcalls_cargo,pw_import_tanker,pw_export_tanker,gfw_n_visits,gfw_dwell_hrs_mean,gfw_dwell_hrs_median,gfw_self_loops,sar_detections_total,sar_detections_dark,sar_dark_share,avail_node
2019-03-29,P009,233.0,65.0,2185461.0,1420330.0,63.0,53.47254032258065,24.882638888888888,40.0,251.0,19.0,0.0756972111553784,1
2019-03-29,P010,5.0,0.0,0.0,505008.0,4.0,119.830625,22.585416666666667,4.0,76.0,62.0,0.8157894736842105,1
2019-03-29,P011,27.0,5.0,518901.0,1162700.0,5.0,87.36011111111111,96.51638888888888,1.0,8.0,4.0,0.5,1
2019-04-05,P001,373.0,342.0,3312244.0,806135.0,290.0,42.95673779315648,29.126944444444444,211.0,107.0,16.0,0.1495327102803738,1
2019-04-05,P002,59.0,6.0,655585.0,714187.0,101.0,35.246259625962594,17.77611111111111,51.0,468.0,27.0,0.0576923076923076,1
2019-04-05,P003,1.0,1.0,0.0,95450.0,20.0,139.79331944444442,44.28930555555556,3.0,188.0,48.0,0.2553191489361702,1
2019-04-05,P004,481.0,375.0,3601387.0,2349829.0,588.0,29.613549593034264,21.69638888888889,354.0,623.0,44.0,0.0706260032102728,1
2019-04-05,P005,50.0,38.0,240555.0,1232255.0,57.0,99.43508771929825,46.07138888888889,26.0,22.0,8.0,0.3636363636363636,1
2019-04-05,P006,99.0,270.0,1254671.0,543971.0,505.0,71.6263888888889,34.41444444444444,386.0,250.0,24.0,0.096,1
2019-04-05,P007,9.0,0.0,33799.0,365670.0,2.0,179.49333333333334,179.49333333333334,0.0,33.0,20.0,0.6060606060606061,1
2019-04-05,P008,15.0,0.0,4069.0,2906944.0,6.0,9.253425925925926,10.289305555555554,4.0,558.0,380.0,0.6810035842293907,1
2019-04-05,P009,193.0,79.0,2249922.0,1412604.0,70.0,52.82210317460317,15.923194444444444,48.0,251.0,19.0,0.0756972111553784,1
2019-04-05,P010,3.0,1.0,0.0,669193.0,2.0,53.16111111111111,53.16111111111111,2.0,76.0,62.0,0.8157894736842105,1
2019-04-05,P011,24.0,2.0,190808.0,729790.0,6.0,61.8325462962963,55.715833333333336,0.0,8.0,4.0,0.5,1
2019-04-12,P001,396.0,330.0,3053732.0,1139770.0,314.0,44.393425630102946,29.25111111111111,226.0,107.0,16.0,0.1495327102803738,1
2019-04-12,P002,53.0,6.0,567651.0,625257.0,101.0,37.70479922992299,19.524444444444445,41.0,468.0,27.0,0.0576923076923076,1
2019-04-12,P003,8.0,0.0,140539.0,632176.0,23.0,99.4727657004831,48.20027777777778,5.0,188.0,48.0,0.2553191489361702,1
2019-04-12,P004,459.0,399.0,3127003.0,2177262.0,603.0,32.76452559821925,21.58944444444445,359.0,623.0,44.0,0.0706260032102728,1
2019-04-12,P005,78.0,45.0,487513.0,1519506.0,34.0,83.33599673202615,44.43291666666667,15.0,22.0,8.0,0.3636363636363636,1
2019-04-12,P006,108.0,269.0,1951365.0,152763.0,495.0,64.7213871671258,31.42402777777778,387.0,250.0,24.0,0.096,1
2019-04-12,P007,11.0,0.0,22855.0,338706.0,0.0,,,0.0,33.0,20.0,0.6060606060606061,1
2019-04-12,P008,14.0,0.0,4068.0,2182052.0,15.0,15.588314814814815,8.215555555555556,8.0,558.0,380.0,0.6810035842293907,1
2019-04-12,P009,202.0,85.0,1652054.0,1201098.0,79.0,39.51257834757835,15.6375,49.0,251.0,19.0,0.0756972111553784,1
2019-04-12,P010,3.0,0.0,0.0,144301.0,2.0,20.042361111111113,20.042361111111113,0.0,76.0,62.0,0.8157894736842105,1
2019-04-12,P011,19.0,1.0,418738.0,482003.0,3.0,62.03499999999999,54.13111111111111,0.0,8.0,4.0,0.5,1
2019-04-19,P001,381.0,342.0,2430007.0,1481991.0,295.0,42.866412429378535,30.267777777777777,227.0,107.0,16.0,0.1495327102803738,1
2019-04-19,P002,54.0,8.0,532569.0,725036.0,92.0,48.48541968599034,17.0775,46.0,468.0,27.0,0.0576923076923076,1
2019-04-19,P003,14.0,0.0,122174.0,1508463.0,23.0,67.22874396135266,44.75805555555556,4.0,188.0,48.0,0.2553191489361702,1
2019-04-19,P004,497.0,387.0,3627996.0,2208545.0,600.0,32.61248366013072,22.99888888888889,379.0,623.0,44.0,0.0706260032102728,1
2019-04-19,P005,110.0,56.0,714542.0,2583608.0,41.0,86.33626016260163,67.6825,20.0,22.0,8.0,0.3636363636363636,1
2019-04-19,P006,90.0,243.0,1265021.0,192482.0,492.0,63.373645264116576,33.625416666666666,385.0,250.0,24.0,0.096,1
2019-04-19,P007,3.0,0.0,18940.0,61770.0,2.0,61.21083333333333,61.21083333333333,1.0,33.0,20.0,0.6060606060606061,1
2019-04-19,P008,16.0,0.0,7761.0,2899029.0,24.0,40.818888888888885,18.78597222222222,11.0,558.0,380.0,0.6810035842293907,1
2019-04-19,P009,206.0,78.0,1922156.0,1300014.0,89.0,44.40781210986267,13.429166666666667,49.0,251.0,19.0,0.0756972111553784,1
2019-04-19,P010,2.0,0.0,0.0,387366.0,1.0,7.043888888888889,7.043888888888889,1.0,76.0,62.0,0.8157894736842105,1
2019-04-19,P011,32.0,2.0,283887.0,1434854.0,6.0,100.83013888888888,91.98555555555555,0.0,8.0,4.0,0.5,1
2019-04-26,P001,346.0,336.0,2910095.0,919461.0,306.0,47.68437454611474,32.41611111111111,229.0,107.0,16.0,0.1495327102803738,1
2019-04-26,P002,56.0,13.0,482124.0,589558.0,102.0,27.4799128540305,16.353194444444444,48.0,468.0,27.0,0.0576923076923076,1
2019-04-26,P003,16.0,0.0,88089.0,1231233.0,21.0,49.024537037037035,34.24333333333333,7.0,188.0,48.0,0.2553191489361702,1
2019-04-26,P004,479.0,367.0,4275301.0,2610898.0,636.0,31.409911496670173,21.789166666666667,391.0,623.0,44.0,0.0706260032102728,1
2019-04-26,P005,113.0,59.0,601191.0,2542799.0,53.0,72.71867521367521,59.804583333333326,26.0,22.0,8.0,0.3636363636363636,1
2019-04-26,P006,104.0,263.0,1304727.0,282893.0,488.0,72.23755092592593,43.439722222222215,385.0,250.0,24.0,0.096,1
2019-04-26,P007,10.0,1.0,23500.0,283392.0,1.0,211.56722222222223,211.56722222222223,0.0,33.0,20.0,0.6060606060606061,1
2019-04-26,P008,16.0,0.0,2587.0,3225107.0,7.0,54.20448412698413,33.78055555555556,2.0,558.0,380.0,0.6810035842293907,1
2019-04-26,P009,213.0,76.0,2138604.0,1240176.0,83.0,53.45274431057563,18.90194444444445,52.0,251.0,19.0,0.0756972111553784,1
2019-04-26,P010,5.0,0.0,0.0,447650.0,3.0,28.74138888888889,18.45611111111111,3.0,76.0,62.0,0.8157894736842105,1
2019-04-26,P011,26.0,1.0,129135.0,1058553.0,3.0,91.19583333333334,61.511944444444445,1.0,8.0,4.0,0.5,1
2019-05-03,P001,339.0,306.0,3168047.0,1184767.0,307.0,45.70447792254796,34.12888888888889,241.0,168.0,19.0,0.1130952380952381,1
2019-05-03,P002,66.0,8.0,711414.0,930773.0,107.0,42.2605036344756,20.753333333333337,57.0,895.0,44.0,0.0491620111731843,1
2019-05-03,P003,10.0,0.0,26796.0,658304.0,22.0,92.78979797979798,38.35166666666667,4.0,257.0,64.0,0.2490272373540856,1
2019-05-03,P004,466.0,381.0,3553192.0,2329017.0,610.0,32.103651188501935,22.286944444444444,383.0,980.0,91.0,0.0928571428571428,1
2019-05-03,P005,100.0,48.0,753066.0,1976542.0,57.0,73.51681286549707,50.08,25.0,29.0,11.0,0.3793103448275862,1
2019-05-03,P006,77.0,218.0,1513780.0,291580.0,515.0,60.03007999123383,34.81138888888889,396.0,739.0,63.0,0.0852503382949932,1
2019-05-03,P007,15.0,1.0,124904.0,471843.0,0.0,,,0.0,47.0,26.0,0.5531914893617021,1
2019-05-03,P008,15.0,0.0,12935.0,2592535.0,13.0,22.457179487179488,6.521111111111111,6.0,568.0,347.0,0.6109154929577465,1
2019-05-03,P009,211.0,84.0,2140267.0,1341846.0,79.0,42.720295358649786,21.179166666666667,48.0,208.0,24.0,0.1153846153846153,1
2019-05-03,P010,0.0,0.0,0.0,0.0,0.0,,,0.0,75.0,64.0,0.8533333333333334,1
2019-05-03,P011,25.0,2.0,201388.0,875168.0,4.0,124.50055555555556,116.26847222222221,2.0,1.0,0.0,0.0,1
2019-05-10,P001,355.0,324.0,2173282.0,816318.0,276.0,54.71333031400967,37.15875,210.0,168.0,19.0,0.1130952380952381,1
2019-05-10,P002,50.0,9.0,339236.0,672417.0,117.0,28.472866379310343,14.759166666666665,55.0,895.0,44.0,0.0491620111731843,1
2019-05-10,P003,16.0,1.0,71593.0,1105627.0,24.0,68.99847222222222,51.73319444444444,7.0,257.0,64.0,0.2490272373540856,1
2019-05-10,P004,478.0,365.0,4001487.0,2195155.0,296.0,29.612881708238852,20.44708333333333,186.0,980.0,91.0,0.0928571428571428,1
2019-05-10,P005,116.0,53.0,791243.0,2294268.0,46.0,70.42407608695653,46.39541666666666,20.0,29.0,11.0,0.3793103448275862,1
2019-05-10,P006,81.0,238.0,1452311.0,253685.0,539.0,69.3290068134172,44.221111111111114,433.0,739.0,63.0,0.0852503382949932,1
2019-05-10,P007,22.0,1.0,101849.0,715446.0,0.0,,,0.0,47.0,26.0,0.5531914893617021,1
2019-05-10,P008,14.0,0.0,6376.0,2469543.0,9.0,13.428576388888889,6.1906944444444445,4.0,568.0,347.0,0.6109154929577465,1
2019-05-10,P009,215.0,92.0,2367932.0,1150833.0,84.0,49.88567791005291,20.035,53.0,208.0,24.0,0.1153846153846153,1
2019-05-10,P010,1.0,1.0,0.0,0.0,0.0,,,0.0,75.0,64.0,0.8533333333333334,1
2019-05-10,P011,28.0,4.0,413868.0,973960.0,4.0,98.14756944444446,86.69777777777779,0.0,1.0,0.0,0.0,1
2019-05-17,P001,362.0,323.0,3278099.0,969668.0,302.0,44.01694444444445,31.647916666666667,234.0,168.0,19.0,0.1130952380952381,1
2019-05-17,P002,54.0,8.0,753348.0,555059.0,125.0,32.63590725806451,17.396944444444443,67.0,895.0,44.0,0.0491620111731843,1
2019-05-17,P003,16.0,0.0,72580.0,1746769.0,28.0,84.90536008230453,43.99805555555555,5.0,257.0,64.0,0.2490272373540856,1
