site_id,site_name,site_type,month,year,filename,file_exists,excluded,pixel_valid,valid_mask,n_scenes,mean_cloud,patch_px,crs,exclude_reason
P002,Fujairah,terminal,2021_05,2021,S2_P002_Fujairah_2021_05.tif,1,0,1,1,5,38.0120448,320,EPSG:32640,
P002,Fujairah,terminal,2021_06,2021,S2_P002_Fujairah_2021_06.tif,1,0,1,1,6,19.768510333333328,320,EPSG:32640,
P002,Fujairah,terminal,2021_07,2021,S2_P002_Fujairah_2021_07.tif,1,0,1,1,5,29.112946799999996,320,EPSG:32640,
P002,Fujairah,terminal,2021_08,2021,S2_P002_Fujairah_2021_08.tif,1,0,1,1,6,13.927250666666666,320,EPSG:32640,
P002,Fujairah,terminal,2021_09,2021,S2_P002_Fujairah_2021_09.tif,1,0,1,1,6,8.301389333333333,320,EPSG:32640,
P002,Fujairah,terminal,2021_10,2021,S2_P002_Fujairah_2021_10.tif,1,0,1,1,6,0.4294241666666667,320,EPSG:32640,
P002,Fujairah,terminal,2021_11,2021,S2_P002_Fujairah_2021_11.tif,1,0,1,1,5,5.1662018,320,EPSG:32640,
P002,Fujairah,terminal,2021_12,2021,S2_P002_Fujairah_2021_12.tif,1,0,1,1,4,11.1868335,320,EPSG:32640,
P002,Fujairah,terminal,2022_01,2022,S2_P002_Fujairah_2022_01.tif,1,0,1,1,5,11.424508,320,EPSG:32640,
P002,Fujairah,terminal,2022_02,2022,S2_P002_Fujairah_2022_02.tif,1,0,1,1,6,7.235115166666667,320,EPSG:32640,
P002,Fujairah,terminal,2022_03,2022,S2_P002_Fujairah_2022_03.tif,1,0,1,1,5,9.2280296,320,EPSG:32640,
P002,Fujairah,terminal,2022_04,2022,S2_P002_Fujairah_2022_04.tif,1,0,1,1,6,10.778743166666667,320,EPSG:32640,
P002,Fujairah,terminal,2022_05,2022,S2_P002_Fujairah_2022_05.tif,1,0,1,1,6,17.1964335,320,EPSG:32640,
P002,Fujairah,terminal,2022_06,2022,S2_P002_Fujairah_2022_06.tif,1,0,1,1,5,28.822173599999996,320,EPSG:32640,
P002,Fujairah,terminal,2022_07,2022,S2_P002_Fujairah_2022_07.tif,1,0,1,1,3,33.77339966666667,320,EPSG:32640,
P002,Fujairah,terminal,2022_08,2022,S2_P002_Fujairah_2022_08.tif,1,0,1,1,7,17.42732714285714,320,EPSG:32640,
P002,Fujairah,terminal,2022_09,2022,S2_P002_Fujairah_2022_09.tif,1,0,1,1,6,3.3628515,320,EPSG:32640,
P002,Fujairah,terminal,2022_10,2022,S2_P002_Fujairah_2022_10.tif,1,0,1,1,6,1.075628,320,EPSG:32640,
P002,Fujairah,terminal,2022_11,2022,S2_P002_Fujairah_2022_11.tif,1,0,1,1,6,6.1190869999999995,320,EPSG:32640,
P002,Fujairah,terminal,2022_12,2022,S2_P002_Fujairah_2022_12.tif,1,0,1,1,6,15.575386833333333,320,EPSG:32640,
P002,Fujairah,terminal,2023_01,2023,S2_P002_Fujairah_2023_01.tif,1,0,1,1,3,47.622293333333324,320,EPSG:32640,
P002,Fujairah,terminal,2023_02,2023,S2_P002_Fujairah_2023_02.tif,1,0,1,1,6,14.282353,320,EPSG:32640,
P002,Fujairah,terminal,2023_03,2023,S2_P002_Fujairah_2023_03.tif,1,0,1,1,5,24.254658,320,EPSG:32640,
P002,Fujairah,terminal,2023_04,2023,S2_P002_Fujairah_2023_04.tif,1,0,1,1,5,14.236223599999999,320,EPSG:32640,
P002,Fujairah,terminal,2023_05,2023,S2_P002_Fujairah_2023_05.tif,1,0,1,1,5,36.4300036,320,EPSG:32640,
P002,Fujairah,terminal,2023_06,2023,S2_P002_Fujairah_2023_06.tif,1,0,1,1,6,37.1899315,320,EPSG:32640,
P002,Fujairah,terminal,2023_07,2023,S2_P002_Fujairah_2023_07.tif,1,0,1,1,5,30.5530146,320,EPSG:32640,
P002,Fujairah,terminal,2023_08,2023,S2_P002_Fujairah_2023_08.tif,1,0,1,1,7,18.322275285714284,320,EPSG:32640,
P002,Fujairah,terminal,2023_09,2023,S2_P002_Fujairah_2023_09.tif,1,0,1,1,6,5.215854666666668,320,EPSG:32640,
P002,Fujairah,terminal,2023_10,2023,S2_P002_Fujairah_2023_10.tif,1,0,1,1,6,10.843983166666668,320,EPSG:32640,
P002,Fujairah,terminal,2023_11,2023,S2_P002_Fujairah_2023_11.tif,1,0,1,1,5,15.051627200000002,320,EPSG:32640,
P002,Fujairah,terminal,2023_12,2023,S2_P002_Fujairah_2023_12.tif,1,0,1,1,5,17.0013306,320,EPSG:32640,
P002,Fujairah,terminal,2024_01,2024,S2_P002_Fujairah_2024_01.tif,1,0,1,1,5,9.5713478,320,EPSG:32640,
P002,Fujairah,terminal,2024_02,2024,S2_P002_Fujairah_2024_02.tif,1,0,1,1,3,1.8145860000000003,320,EPSG:32640,
P002,Fujairah,terminal,2024_03,2024,S2_P002_Fujairah_2024_03.tif,1,0,1,1,4,8.68470175,320,EPSG:32640,
